================================================================================
X3D INFERENCE STATISTICS REPORT
================================================================================

PLATFORM INFORMATION
----------------------------------------
  platform: Linux-6.1.74-linux4microchip+fpga-2024.02-riscv64-with-glibc2.35
  system: Linux
  machine: riscv64
  processor: riscv64
  python_version: 3.10.13
  node: mpfs-icicle-kit-prod
  cpu_count_logical: 4
  psutil_available: False
  device_type: PolarFire SoC Icicle Kit

RUN SUMMARY
----------------------------------------
  Run ID: 20260414_105339_606179
  Timestamp: 2026-04-14T10:53:39.606538
  Model: X3D-M
  Input Shape: (1, 3, 16, 224, 224)
  Total Latency: 173193.99 ms
  Total Parameters: 3,794,274
  Total FLOPs: 9,464,937,472

SECTION BREAKDOWN
----------------------------------------
  Section              Latency (ms)       Params           FLOPs   % Time
  -------------------- ------------ ------------ --------------- --------
  Stem                      6812.29          816     308,281,344     3.9%
  Stage2                   43657.90       15,370   1,667,251,584    25.2%
  Stage3                   41504.89       73,248   1,825,312,896    24.0%
  Stage4                   58938.75      569,256   3,422,638,080    34.0%
  Stage5                   21339.78    1,347,440   2,107,989,504    12.3%
  Head                       927.16    1,788,144     133,464,064     0.5%

LAYER-BY-LAYER BREAKDOWN
----------------------------------------
  Layer                                    Type            Latency (ms)     Params Output Shape        
  Stage4.block10.conv_b                    Conv3d (3x3x3 depthwise)      398.930      5,832 (1, 216, 16, 14, 14)
  Stage4.block10.norm_b.bn                 BatchNorm3d          199.866        432 (1, 216, 16, 14, 14)
  Stage4.block10.norm_b.se.squeeze         AdaptiveAvgPool3d       16.952          0 (1, 216, 1, 1, 1)   
  Stage4.block10.norm_b.se.conv1           Conv3d (1x1x1)         1.818      3,472 (1, 16, 1, 1, 1)    
  Stage4.block10.norm_b.se.relu            ReLU                   0.173          0 (1, 16, 1, 1, 1)    
  Stage4.block10.norm_b.se.conv2           Conv3d (1x1x1)         1.551      3,672 (1, 216, 1, 1, 1)   
  Stage4.block10.norm_b.se.sigmoid         Sigmoid                0.543          0 (1, 216, 1, 1, 1)   
  Stage4.block10.norm_b.se.scale           Mul (element-wise)       42.603          0 (1, 216, 16, 14, 14)
  Stage4.block10.silu                      SiLU                 336.481          0 (1, 216, 16, 14, 14)
  Stage4.block10.conv_c                    Conv3d (1x1x1)      2481.152     20,736 (1, 96, 16, 14, 14) 
  Stage4.block10.norm_c                    BatchNorm3d           89.096        192 (1, 96, 16, 14, 14) 
  Stage4.block10.residual_add              Add                   21.380          0 (1, 96, 16, 14, 14) 
  Stage4.block10.relu_out                  ReLU                  20.618          0 (1, 96, 16, 14, 14) 
  Stage5.block0.conv_a                     Conv3d (1x1x1)      2246.515     41,472 (1, 432, 16, 14, 14)
  Stage5.block0.norm_a                     BatchNorm3d          409.367        864 (1, 432, 16, 14, 14)
  Stage5.block0.relu_a                     ReLU                  78.617          0 (1, 432, 16, 14, 14)
  Stage5.block0.conv_b                     Conv3d (3x3x3 depthwise)      209.093     11,664 (1, 432, 16, 7, 7)  
  Stage5.block0.norm_b.bn                  BatchNorm3d           99.808        864 (1, 432, 16, 7, 7)  
  Stage5.block0.norm_b.se.squeeze          AdaptiveAvgPool3d        8.901          0 (1, 432, 1, 1, 1)   
  Stage5.block0.norm_b.se.conv1            Conv3d (1x1x1)         1.969     13,856 (1, 32, 1, 1, 1)    
  Stage5.block0.norm_b.se.relu             ReLU                   0.177          0 (1, 32, 1, 1, 1)    
  Stage5.block0.norm_b.se.conv2            Conv3d (1x1x1)         1.740     14,256 (1, 432, 1, 1, 1)   
  Stage5.block0.norm_b.se.sigmoid          Sigmoid                0.691          0 (1, 432, 1, 1, 1)   
  Stage5.block0.norm_b.se.scale            Mul (element-wise)       21.526          0 (1, 432, 16, 7, 7)  
  Stage5.block0.silu                       SiLU                 166.402          0 (1, 432, 16, 7, 7)  
  Stage5.block0.conv_c                     Conv3d (1x1x1)      1291.737     82,944 (1, 192, 16, 7, 7)  
  Stage5.block0.norm_c                     BatchNorm3d           43.043        384 (1, 192, 16, 7, 7)  
  Stage5.block0.branch1_conv               Conv3d (1x1x1)       435.773     18,432 (1, 192, 16, 7, 7)  
  Stage5.block0.branch1_norm               BatchNorm3d           42.995        384 (1, 192, 16, 7, 7)  
  Stage5.block0.residual_add               Add                   10.566          0 (1, 192, 16, 7, 7)  
  Stage5.block0.relu_out                   ReLU                   9.552          0 (1, 192, 16, 7, 7)  
  Stage5.block1.conv_a                     Conv3d (1x1x1)       741.562     82,944 (1, 432, 16, 7, 7)  
  Stage5.block1.norm_a                     BatchNorm3d          100.117        864 (1, 432, 16, 7, 7)  
  Stage5.block1.relu_a                     ReLU                  21.396          0 (1, 432, 16, 7, 7)  
  Stage5.block1.conv_b                     Conv3d (3x3x3 depthwise)      192.645     11,664 (1, 432, 16, 7, 7)  
  Stage5.block1.norm_b.bn                  BatchNorm3d          100.243        864 (1, 432, 16, 7, 7)  
  Stage5.block1.norm_b.identity            Identity               0.037          0 (1, 432, 16, 7, 7)  
  Stage5.block1.silu                       SiLU                 166.108          0 (1, 432, 16, 7, 7)  
  Stage5.block1.conv_c                     Conv3d (1x1x1)      1283.927     82,944 (1, 192, 16, 7, 7)  
  Stage5.block1.norm_c                     BatchNorm3d           43.095        384 (1, 192, 16, 7, 7)  
  Stage5.block1.residual_add               Add                   10.383          0 (1, 192, 16, 7, 7)  
  Stage5.block1.relu_out                   ReLU                   9.618          0 (1, 192, 16, 7, 7)  
  Stage5.block2.conv_a                     Conv3d (1x1x1)       745.018     82,944 (1, 432, 16, 7, 7)  
  Stage5.block2.norm_a                     BatchNorm3d          100.176        864 (1, 432, 16, 7, 7)  
  Stage5.block2.relu_a                     ReLU                  20.315          0 (1, 432, 16, 7, 7)  
  Stage5.block2.conv_b                     Conv3d (3x3x3 depthwise)      192.500     11,664 (1, 432, 16, 7, 7)  
  Stage5.block2.norm_b.bn                  BatchNorm3d           99.575        864 (1, 432, 16, 7, 7)  
  Stage5.block2.norm_b.se.squeeze          AdaptiveAvgPool3d        8.962          0 (1, 432, 1, 1, 1)   
  Stage5.block2.norm_b.se.conv1            Conv3d (1x1x1)         2.006     13,856 (1, 32, 1, 1, 1)    
  Stage5.block2.norm_b.se.relu             ReLU                   0.175          0 (1, 32, 1, 1, 1)    
  Stage5.block2.norm_b.se.conv2            Conv3d (1x1x1)         1.771     14,256 (1, 432, 1, 1, 1)   
  Stage5.block2.norm_b.se.sigmoid          Sigmoid                0.636          0 (1, 432, 1, 1, 1)   
  Stage5.block2.norm_b.se.scale            Mul (element-wise)       21.397          0 (1, 432, 16, 7, 7)  
  Stage5.block2.silu                       SiLU                 166.042          0 (1, 432, 16, 7, 7)  
  Stage5.block2.conv_c                     Conv3d (1x1x1)      1288.545     82,944 (1, 192, 16, 7, 7)  
  Stage5.block2.norm_c                     BatchNorm3d           42.635        384 (1, 192, 16, 7, 7)  
  Stage5.block2.residual_add               Add                   10.595          0 (1, 192, 16, 7, 7)  
  Stage5.block2.relu_out                   ReLU                  10.020          0 (1, 192, 16, 7, 7)  
  Stage5.block3.conv_a                     Conv3d (1x1x1)       768.870     82,944 (1, 432, 16, 7, 7)  
  Stage5.block3.norm_a                     BatchNorm3d          100.130        864 (1, 432, 16, 7, 7)  
  Stage5.block3.relu_a                     ReLU                  21.365          0 (1, 432, 16, 7, 7)  
  Stage5.block3.conv_b                     Conv3d (3x3x3 depthwise)      192.746     11,664 (1, 432, 16, 7, 7)  
  Stage5.block3.norm_b.bn                  BatchNorm3d           99.463        864 (1, 432, 16, 7, 7)  
  Stage5.block3.norm_b.identity            Identity               0.037          0 (1, 432, 16, 7, 7)  
  Stage5.block3.silu                       SiLU                 166.131          0 (1, 432, 16, 7, 7)  
  Stage5.block3.conv_c                     Conv3d (1x1x1)      1280.040     82,944 (1, 192, 16, 7, 7)  
  Stage5.block3.norm_c                     BatchNorm3d           42.643        384 (1, 192, 16, 7, 7)  
  Stage5.block3.residual_add               Add                   10.558          0 (1, 192, 16, 7, 7)  
  Stage5.block3.relu_out                   ReLU                   9.657          0 (1, 192, 16, 7, 7)  
  Stage5.block4.conv_a                     Conv3d (1x1x1)       771.190     82,944 (1, 432, 16, 7, 7)  
  Stage5.block4.norm_a                     BatchNorm3d          100.140        864 (1, 432, 16, 7, 7)  
  Stage5.block4.relu_a                     ReLU                  20.188          0 (1, 432, 16, 7, 7)  
  Stage5.block4.conv_b                     Conv3d (3x3x3 depthwise)      192.628     11,664 (1, 432, 16, 7, 7)  
  Stage5.block4.norm_b.bn                  BatchNorm3d           99.550        864 (1, 432, 16, 7, 7)  
  Stage5.block4.norm_b.se.squeeze          AdaptiveAvgPool3d        8.915          0 (1, 432, 1, 1, 1)   
  Stage5.block4.norm_b.se.conv1            Conv3d (1x1x1)         5.441     13,856 (1, 32, 1, 1, 1)    
  Stage5.block4.norm_b.se.relu             ReLU                   0.192          0 (1, 32, 1, 1, 1)    
  Stage5.block4.norm_b.se.conv2            Conv3d (1x1x1)         1.714     14,256 (1, 432, 1, 1, 1)   
  Stage5.block4.norm_b.se.sigmoid          Sigmoid                0.648          0 (1, 432, 1, 1, 1)   
  Stage5.block4.norm_b.se.scale            Mul (element-wise)       21.531          0 (1, 432, 16, 7, 7)  
  Stage5.block4.silu                       SiLU                 166.066          0 (1, 432, 16, 7, 7)  
  Stage5.block4.conv_c                     Conv3d (1x1x1)      1286.019     82,944 (1, 192, 16, 7, 7)  
  Stage5.block4.norm_c                     BatchNorm3d           42.673        384 (1, 192, 16, 7, 7)  
  Stage5.block4.residual_add               Add                   10.608          0 (1, 192, 16, 7, 7)  
  Stage5.block4.relu_out                   ReLU                   9.770          0 (1, 192, 16, 7, 7)  
  Stage5.block5.conv_a                     Conv3d (1x1x1)       751.729     82,944 (1, 432, 16, 7, 7)  
  Stage5.block5.norm_a                     BatchNorm3d          100.074        864 (1, 432, 16, 7, 7)  
  Stage5.block5.relu_a                     ReLU                  21.259          0 (1, 432, 16, 7, 7)  
  Stage5.block5.conv_b                     Conv3d (3x3x3 depthwise)      192.646     11,664 (1, 432, 16, 7, 7)  
  Stage5.block5.norm_b.bn                  BatchNorm3d           99.579        864 (1, 432, 16, 7, 7)  
  Stage5.block5.norm_b.identity            Identity               0.039          0 (1, 432, 16, 7, 7)  
  Stage5.block5.silu                       SiLU                 166.180          0 (1, 432, 16, 7, 7)  
  Stage5.block5.conv_c                     Conv3d (1x1x1)      1289.400     82,944 (1, 192, 16, 7, 7)  
  Stage5.block5.norm_c                     BatchNorm3d           42.727        384 (1, 192, 16, 7, 7)  
  Stage5.block5.residual_add               Add                   10.550          0 (1, 192, 16, 7, 7)  
  Stage5.block5.relu_out                   ReLU                   9.347          0 (1, 192, 16, 7, 7)  
  Stage5.block6.conv_a                     Conv3d (1x1x1)       738.107     82,944 (1, 432, 16, 7, 7)  
  Stage5.block6.norm_a                     BatchNorm3d          100.044        864 (1, 432, 16, 7, 7)  
  Stage5.block6.relu_a                     ReLU                  20.031          0 (1, 432, 16, 7, 7)  
  Stage5.block6.conv_b                     Conv3d (3x3x3 depthwise)      192.557     11,664 (1, 432, 16, 7, 7)  
  Stage5.block6.norm_b.bn                  BatchNorm3d           99.859        864 (1, 432, 16, 7, 7)  
  Stage5.block6.norm_b.se.squeeze          AdaptiveAvgPool3d        8.928          0 (1, 432, 1, 1, 1)   
  Stage5.block6.norm_b.se.conv1            Conv3d (1x1x1)         1.985     13,856 (1, 32, 1, 1, 1)    
  Stage5.block6.norm_b.se.relu             ReLU                   0.178          0 (1, 32, 1, 1, 1)    
  Stage5.block6.norm_b.se.conv2            Conv3d (1x1x1)         1.694     14,256 (1, 432, 1, 1, 1)   
  Stage5.block6.norm_b.se.sigmoid          Sigmoid                0.628          0 (1, 432, 1, 1, 1)   
  Stage5.block6.norm_b.se.scale            Mul (element-wise)       21.383          0 (1, 432, 16, 7, 7)  
  Stage5.block6.silu                       SiLU                 166.118          0 (1, 432, 16, 7, 7)  
  Stage5.block6.conv_c                     Conv3d (1x1x1)      1284.516     82,944 (1, 192, 16, 7, 7)  
  Stage5.block6.norm_c                     BatchNorm3d           42.856        384 (1, 192, 16, 7, 7)  
  Stage5.block6.residual_add               Add                   10.628          0 (1, 192, 16, 7, 7)  
  Stage5.block6.relu_out                   ReLU                  10.206          0 (1, 192, 16, 7, 7)  
  Head.pool.pre_conv                       Conv3d (1x1x1)       749.384     82,944 (1, 432, 16, 7, 7)  
  Head.pool.pre_norm                       BatchNorm3d          100.640        864 (1, 432, 16, 7, 7)  
  Head.pool.pre_relu                       ReLU                  19.376          0 (1, 432, 16, 7, 7)  
  Head.pool.avgpool                        AvgPool3d              8.980          0 (1, 432, 1, 1, 1)   
  Head.pool.post_conv                      Conv3d (1x1x1)        13.037    884,736 (1, 2048, 1, 1, 1)  
  Head.pool.post_relu                      ReLU                   0.367          0 (1, 2048, 1, 1, 1)  
  Head.dropout                             Dropout                0.100          0 (1, 2048, 1, 1, 1)  
  Head.proj                                Linear                29.777    819,600 (1, 400)            

TOP 10 SLOWEST LAYERS
----------------------------------------
   1. Stage2.block0.conv_a                      10122.726 ms (  5.8%)
   2. Stage3.block0.conv_a                       5102.484 ms (  2.9%)
   3. Stage4.block0.conv_a                       4027.213 ms (  2.3%)
   4. Stem.conv.conv_t                           3838.782 ms (  2.2%)
   5. Stage2.block0.norm_a                       3215.136 ms (  1.9%)
   6. Stage3.block3.conv_c                       2621.400 ms (  1.5%)
   7. Stage2.block2.conv_a                       2607.078 ms (  1.5%)
   8. Stage2.block0.conv_c                       2586.830 ms (  1.5%)
   9. Stage3.block1.conv_c                       2586.605 ms (  1.5%)
  10. Stage2.block2.conv_c                       2576.081 ms (  1.5%)

================================================================================
END OF REPORT
================================================================================
