================================================================================
X3D INFERENCE STATISTICS REPORT
================================================================================

PLATFORM INFORMATION
----------------------------------------
  platform: Linux-6.1.74-linux4microchip+fpga-2024.02-riscv64-with-glibc2.35
  system: Linux
  machine: riscv64
  processor: riscv64
  python_version: 3.10.13
  node: mpfs-icicle-kit-prod
  cpu_count_logical: 4
  psutil_available: False
  device_type: PolarFire SoC Icicle Kit

RUN SUMMARY
----------------------------------------
  Run ID: 20260414_105925_228579
  Timestamp: 2026-04-14T10:59:25.228927
  Model: X3D-M
  Input Shape: (1, 3, 16, 224, 224)
  Total Latency: 110396.03 ms
  Total Parameters: 3,794,274
  Total FLOPs: 9,464,937,472

SECTION BREAKDOWN
----------------------------------------
  Section              Latency (ms)       Params           FLOPs   % Time
  -------------------- ------------ ------------ --------------- --------
  Stem                      4282.27          816     308,281,344     3.9%
  Stage2                   29958.41       15,370   1,667,251,584    27.1%
  Stage3                   26714.79       73,248   1,825,312,896    24.2%
  Stage4                   36140.98      569,256   3,422,638,080    32.7%
  Stage5                   12740.93    1,347,440   2,107,989,504    11.5%
  Head                       544.79    1,788,144     133,464,064     0.5%

LAYER-BY-LAYER BREAKDOWN
----------------------------------------
  Layer                                    Type            Latency (ms)     Params Output Shape        
  Stage4.block10.conv_b                    Conv3d (3x3x3 depthwise)      200.956      5,832 (1, 216, 16, 14, 14)
  Stage4.block10.norm_b.bn                 BatchNorm3d          199.981        432 (1, 216, 16, 14, 14)
  Stage4.block10.norm_b.se.squeeze         AdaptiveAvgPool3d       17.028          0 (1, 216, 1, 1, 1)   
  Stage4.block10.norm_b.se.conv1           Conv3d (1x1x1)         2.114      3,472 (1, 16, 1, 1, 1)    
  Stage4.block10.norm_b.se.relu            ReLU                   0.180          0 (1, 16, 1, 1, 1)    
  Stage4.block10.norm_b.se.conv2           Conv3d (1x1x1)         1.912      3,672 (1, 216, 1, 1, 1)   
  Stage4.block10.norm_b.se.sigmoid         Sigmoid                0.542          0 (1, 216, 1, 1, 1)   
  Stage4.block10.norm_b.se.scale           Mul (element-wise)       42.895          0 (1, 216, 16, 14, 14)
  Stage4.block10.silu                      SiLU                 336.662          0 (1, 216, 16, 14, 14)
  Stage4.block10.conv_c                    Conv3d (1x1x1)      1303.706     20,736 (1, 96, 16, 14, 14) 
  Stage4.block10.norm_c                    BatchNorm3d           89.226        192 (1, 96, 16, 14, 14) 
  Stage4.block10.residual_add              Add                   21.423          0 (1, 96, 16, 14, 14) 
  Stage4.block10.relu_out                  ReLU                  20.554          0 (1, 96, 16, 14, 14) 
  Stage5.block0.conv_a                     Conv3d (1x1x1)      1166.115     41,472 (1, 432, 16, 14, 14)
  Stage5.block0.norm_a                     BatchNorm3d          410.200        864 (1, 432, 16, 14, 14)
  Stage5.block0.relu_a                     ReLU                  78.226          0 (1, 432, 16, 14, 14)
  Stage5.block0.conv_b                     Conv3d (3x3x3 depthwise)      106.412     11,664 (1, 432, 16, 7, 7)  
  Stage5.block0.norm_b.bn                  BatchNorm3d           99.882        864 (1, 432, 16, 7, 7)  
  Stage5.block0.norm_b.se.squeeze          AdaptiveAvgPool3d        9.021          0 (1, 432, 1, 1, 1)   
  Stage5.block0.norm_b.se.conv1            Conv3d (1x1x1)         2.177     13,856 (1, 32, 1, 1, 1)    
  Stage5.block0.norm_b.se.relu             ReLU                   0.180          0 (1, 32, 1, 1, 1)    
  Stage5.block0.norm_b.se.conv2            Conv3d (1x1x1)         1.951     14,256 (1, 432, 1, 1, 1)   
  Stage5.block0.norm_b.se.sigmoid          Sigmoid                0.646          0 (1, 432, 1, 1, 1)   
  Stage5.block0.norm_b.se.scale            Mul (element-wise)       21.591          0 (1, 432, 16, 7, 7)  
  Stage5.block0.silu                       SiLU                 166.305          0 (1, 432, 16, 7, 7)  
  Stage5.block0.conv_c                     Conv3d (1x1x1)       657.001     82,944 (1, 192, 16, 7, 7)  
  Stage5.block0.norm_c                     BatchNorm3d           43.199        384 (1, 192, 16, 7, 7)  
  Stage5.block0.branch1_conv               Conv3d (1x1x1)       233.340     18,432 (1, 192, 16, 7, 7)  
  Stage5.block0.branch1_norm               BatchNorm3d           43.034        384 (1, 192, 16, 7, 7)  
  Stage5.block0.residual_add               Add                   10.511          0 (1, 192, 16, 7, 7)  
  Stage5.block0.relu_out                   ReLU                   9.610          0 (1, 192, 16, 7, 7)  
  Stage5.block1.conv_a                     Conv3d (1x1x1)       377.193     82,944 (1, 432, 16, 7, 7)  
  Stage5.block1.norm_a                     BatchNorm3d          100.108        864 (1, 432, 16, 7, 7)  
  Stage5.block1.relu_a                     ReLU                  21.358          0 (1, 432, 16, 7, 7)  
  Stage5.block1.conv_b                     Conv3d (3x3x3 depthwise)       97.863     11,664 (1, 432, 16, 7, 7)  
  Stage5.block1.norm_b.bn                  BatchNorm3d          100.080        864 (1, 432, 16, 7, 7)  
  Stage5.block1.norm_b.identity            Identity               0.039          0 (1, 432, 16, 7, 7)  
  Stage5.block1.silu                       SiLU                 166.038          0 (1, 432, 16, 7, 7)  
  Stage5.block1.conv_c                     Conv3d (1x1x1)       653.279     82,944 (1, 192, 16, 7, 7)  
  Stage5.block1.norm_c                     BatchNorm3d           42.934        384 (1, 192, 16, 7, 7)  
  Stage5.block1.residual_add               Add                   10.218          0 (1, 192, 16, 7, 7)  
  Stage5.block1.relu_out                   ReLU                   9.601          0 (1, 192, 16, 7, 7)  
  Stage5.block2.conv_a                     Conv3d (1x1x1)       398.009     82,944 (1, 432, 16, 7, 7)  
  Stage5.block2.norm_a                     BatchNorm3d          100.236        864 (1, 432, 16, 7, 7)  
  Stage5.block2.relu_a                     ReLU                  20.214          0 (1, 432, 16, 7, 7)  
  Stage5.block2.conv_b                     Conv3d (3x3x3 depthwise)       97.841     11,664 (1, 432, 16, 7, 7)  
  Stage5.block2.norm_b.bn                  BatchNorm3d           99.599        864 (1, 432, 16, 7, 7)  
  Stage5.block2.norm_b.se.squeeze          AdaptiveAvgPool3d        9.019          0 (1, 432, 1, 1, 1)   
  Stage5.block2.norm_b.se.conv1            Conv3d (1x1x1)         2.279     13,856 (1, 32, 1, 1, 1)    
  Stage5.block2.norm_b.se.relu             ReLU                   0.184          0 (1, 32, 1, 1, 1)    
  Stage5.block2.norm_b.se.conv2            Conv3d (1x1x1)         2.084     14,256 (1, 432, 1, 1, 1)   
  Stage5.block2.norm_b.se.sigmoid          Sigmoid                0.656          0 (1, 432, 1, 1, 1)   
  Stage5.block2.norm_b.se.scale            Mul (element-wise)       21.423          0 (1, 432, 16, 7, 7)  
  Stage5.block2.silu                       SiLU                 166.198          0 (1, 432, 16, 7, 7)  
  Stage5.block2.conv_c                     Conv3d (1x1x1)       653.222     82,944 (1, 192, 16, 7, 7)  
  Stage5.block2.norm_c                     BatchNorm3d           42.898        384 (1, 192, 16, 7, 7)  
  Stage5.block2.residual_add               Add                   10.586          0 (1, 192, 16, 7, 7)  
  Stage5.block2.relu_out                   ReLU                  10.037          0 (1, 192, 16, 7, 7)  
  Stage5.block3.conv_a                     Conv3d (1x1x1)       375.423     82,944 (1, 432, 16, 7, 7)  
  Stage5.block3.norm_a                     BatchNorm3d          100.178        864 (1, 432, 16, 7, 7)  
  Stage5.block3.relu_a                     ReLU                  21.417          0 (1, 432, 16, 7, 7)  
  Stage5.block3.conv_b                     Conv3d (3x3x3 depthwise)       97.805     11,664 (1, 432, 16, 7, 7)  
  Stage5.block3.norm_b.bn                  BatchNorm3d           99.668        864 (1, 432, 16, 7, 7)  
  Stage5.block3.norm_b.identity            Identity               0.037          0 (1, 432, 16, 7, 7)  
  Stage5.block3.silu                       SiLU                 166.070          0 (1, 432, 16, 7, 7)  
  Stage5.block3.conv_c                     Conv3d (1x1x1)       652.995     82,944 (1, 192, 16, 7, 7)  
  Stage5.block3.norm_c                     BatchNorm3d           43.044        384 (1, 192, 16, 7, 7)  
  Stage5.block3.residual_add               Add                   10.821          0 (1, 192, 16, 7, 7)  
  Stage5.block3.relu_out                   ReLU                   9.622          0 (1, 192, 16, 7, 7)  
  Stage5.block4.conv_a                     Conv3d (1x1x1)       378.297     82,944 (1, 432, 16, 7, 7)  
  Stage5.block4.norm_a                     BatchNorm3d          100.366        864 (1, 432, 16, 7, 7)  
  Stage5.block4.relu_a                     ReLU                  20.344          0 (1, 432, 16, 7, 7)  
  Stage5.block4.conv_b                     Conv3d (3x3x3 depthwise)       97.994     11,664 (1, 432, 16, 7, 7)  
  Stage5.block4.norm_b.bn                  BatchNorm3d           99.849        864 (1, 432, 16, 7, 7)  
  Stage5.block4.norm_b.se.squeeze          AdaptiveAvgPool3d        8.960          0 (1, 432, 1, 1, 1)   
  Stage5.block4.norm_b.se.conv1            Conv3d (1x1x1)         5.799     13,856 (1, 32, 1, 1, 1)    
  Stage5.block4.norm_b.se.relu             ReLU                   0.195          0 (1, 32, 1, 1, 1)    
  Stage5.block4.norm_b.se.conv2            Conv3d (1x1x1)         2.161     14,256 (1, 432, 1, 1, 1)   
  Stage5.block4.norm_b.se.sigmoid          Sigmoid                0.747          0 (1, 432, 1, 1, 1)   
  Stage5.block4.norm_b.se.scale            Mul (element-wise)       21.662          0 (1, 432, 16, 7, 7)  
  Stage5.block4.silu                       SiLU                 166.442          0 (1, 432, 16, 7, 7)  
  Stage5.block4.conv_c                     Conv3d (1x1x1)       653.550     82,944 (1, 192, 16, 7, 7)  
  Stage5.block4.norm_c                     BatchNorm3d           43.129        384 (1, 192, 16, 7, 7)  
  Stage5.block4.residual_add               Add                   10.618          0 (1, 192, 16, 7, 7)  
  Stage5.block4.relu_out                   ReLU                   9.949          0 (1, 192, 16, 7, 7)  
  Stage5.block5.conv_a                     Conv3d (1x1x1)       378.413     82,944 (1, 432, 16, 7, 7)  
  Stage5.block5.norm_a                     BatchNorm3d          100.384        864 (1, 432, 16, 7, 7)  
  Stage5.block5.relu_a                     ReLU                  21.338          0 (1, 432, 16, 7, 7)  
  Stage5.block5.conv_b                     Conv3d (3x3x3 depthwise)       98.016     11,664 (1, 432, 16, 7, 7)  
  Stage5.block5.norm_b.bn                  BatchNorm3d           99.798        864 (1, 432, 16, 7, 7)  
  Stage5.block5.norm_b.identity            Identity               0.038          0 (1, 432, 16, 7, 7)  
  Stage5.block5.silu                       SiLU                 166.580          0 (1, 432, 16, 7, 7)  
  Stage5.block5.conv_c                     Conv3d (1x1x1)       654.135     82,944 (1, 192, 16, 7, 7)  
  Stage5.block5.norm_c                     BatchNorm3d           43.098        384 (1, 192, 16, 7, 7)  
  Stage5.block5.residual_add               Add                   10.793          0 (1, 192, 16, 7, 7)  
  Stage5.block5.relu_out                   ReLU                   9.377          0 (1, 192, 16, 7, 7)  
  Stage5.block6.conv_a                     Conv3d (1x1x1)       378.031     82,944 (1, 432, 16, 7, 7)  
  Stage5.block6.norm_a                     BatchNorm3d          100.505        864 (1, 432, 16, 7, 7)  
  Stage5.block6.relu_a                     ReLU                  20.109          0 (1, 432, 16, 7, 7)  
  Stage5.block6.conv_b                     Conv3d (3x3x3 depthwise)       98.135     11,664 (1, 432, 16, 7, 7)  
  Stage5.block6.norm_b.bn                  BatchNorm3d           99.822        864 (1, 432, 16, 7, 7)  
  Stage5.block6.norm_b.se.squeeze          AdaptiveAvgPool3d        8.962          0 (1, 432, 1, 1, 1)   
  Stage5.block6.norm_b.se.conv1            Conv3d (1x1x1)         2.469     13,856 (1, 32, 1, 1, 1)    
  Stage5.block6.norm_b.se.relu             ReLU                   0.182          0 (1, 32, 1, 1, 1)    
  Stage5.block6.norm_b.se.conv2            Conv3d (1x1x1)         2.137     14,256 (1, 432, 1, 1, 1)   
  Stage5.block6.norm_b.se.sigmoid          Sigmoid                0.681          0 (1, 432, 1, 1, 1)   
  Stage5.block6.norm_b.se.scale            Mul (element-wise)       21.538          0 (1, 432, 16, 7, 7)  
  Stage5.block6.silu                       SiLU                 166.512          0 (1, 432, 16, 7, 7)  
  Stage5.block6.conv_c                     Conv3d (1x1x1)       655.735     82,944 (1, 192, 16, 7, 7)  
  Stage5.block6.norm_c                     BatchNorm3d           43.006        384 (1, 192, 16, 7, 7)  
  Stage5.block6.residual_add               Add                   10.797          0 (1, 192, 16, 7, 7)  
  Stage5.block6.relu_out                   ReLU                  10.292          0 (1, 192, 16, 7, 7)  
  Head.pool.pre_conv                       Conv3d (1x1x1)       370.499     82,944 (1, 432, 16, 7, 7)  
  Head.pool.pre_norm                       BatchNorm3d          100.836        864 (1, 432, 16, 7, 7)  
  Head.pool.pre_relu                       ReLU                  19.345          0 (1, 432, 16, 7, 7)  
  Head.pool.avgpool                        AvgPool3d              9.233          0 (1, 432, 1, 1, 1)   
  Head.pool.post_conv                      Conv3d (1x1x1)         8.686    884,736 (1, 2048, 1, 1, 1)  
  Head.pool.post_relu                      ReLU                   0.364          0 (1, 2048, 1, 1, 1)  
  Head.dropout                             Dropout                0.105          0 (1, 2048, 1, 1, 1)  
  Head.proj                                Linear                30.052    819,600 (1, 400)            

TOP 10 SLOWEST LAYERS
----------------------------------------
   1. Stage2.block0.conv_a                       5563.177 ms (  5.0%)
   2. Stage2.block0.norm_a                       3216.012 ms (  2.9%)
   3. Stage3.block0.conv_a                       2668.233 ms (  2.4%)
   4. Stage4.block0.conv_a                       2096.774 ms (  1.9%)
   5. Stem.conv.conv_t                           1927.611 ms (  1.7%)
   6. Stage3.block0.norm_a                       1562.157 ms (  1.4%)
   7. Stage2.block2.conv_a                       1392.443 ms (  1.3%)
   8. Stage2.block1.conv_a                       1371.621 ms (  1.2%)
   9. Stage2.block2.conv_c                       1363.588 ms (  1.2%)
  10. Stage2.block0.conv_c                       1363.205 ms (  1.2%)

================================================================================
END OF REPORT
================================================================================
